participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.851cf6d6-ac17-4133-b4fd-d87bf7d28022.txt,334669066,2,"",1,1,1,1,1,1,1,1,1,1,1,1,d5U28d9p,2019-07-09-17-34,2019-07-09-17-35,1
s.b92dcb17-5015-4eb5-b4ea-789cae337d99.txt,334668989,3,"","","","","","","","","","","","","","",2019-07-29-18-14,"",""
s.acaeb7cd-2b45-4145-aa75-c83822956072.txt,334668989,1,"This group of people is in conflict, fighting among each other. ",7,7,7,7,1,1,1,7,1,1,1,7,zE2wa3gp,2019-07-29-18-52,2019-07-29-18-52,0
s.2f2773d1-758b-4a96-9cd7-d8bea544032e.txt,334669066,1,"","","","","","","","","","","","","","",2019-07-09-18-24,"",""
s.32127951-1183-4968-b2d0-2cf8278ddc04.txt,334668817,2,That they were working on something,4,4,3,4,4,4,4,2,7,6,4,5,NRa2z5VT,2019-07-29-18-49,2019-07-29-18-51,2
s.e0c10cc4-6cdb-4ebc-b0aa-e539b567f422.txt,334668844,2,They are saying that there friends are very giving,5,5,4,4,5,5,4,4,4,4,5,4,AKxX938F,2019-07-29-18-53,2019-07-29-18-54,1
s.d726c4e9-7c86-46d8-a8dd-e1a212920661.txt,334668938,3,"","","","","","","","","","","","","","",2019-07-29-18-49,"",""
